point_vente;type_canal;stock_restant;rupture
PDV-001;Marché ouvert;23;Non
PDV-002;Kiosque;4;Non
PDV-003;Supérette;39;Non
PDV-004;Supérette;7;Non
PDV-005;Supérette;32;Non
PDV-006;Supérette;26;Non
PDV-007;Supérette;25;Non
PDV-008;Supérette;35;Non
PDV-009;Marché ouvert;12;Non
PDV-010;Kiosque;24;Non
PDV-011;Marché ouvert;39;Non
PDV-012;Boutique de quartier;19;Non
PDV-013;Kiosque;35;Non
PDV-014;Kiosque;19;Non
PDV-015;Supérette;13;Non
PDV-016;Kiosque;37;Non
PDV-017;Boutique de quartier;20;Non
PDV-018;Kiosque;28;Non
PDV-019;Kiosque;13;Non
PDV-020;Boutique de quartier;30;Non
PDV-021;Marché ouvert;5;Non
PDV-022;Supérette;32;Non
PDV-023;Boutique de quartier;21;Non
PDV-024;Kiosque;15;Non
PDV-025;Supérette;14;Non
PDV-026;Marché ouvert;9;Non
PDV-027;Kiosque;2;Non
PDV-028;Marché ouvert;30;Non
PDV-029;Boutique de quartier;4;Non
PDV-030;Kiosque;26;Non
PDV-031;Boutique de quartier;12;Non
PDV-032;Kiosque;31;Non
PDV-033;Kiosque;15;Non
PDV-034;Marché ouvert;0;Oui
PDV-035;Kiosque;27;Non
PDV-036;Marché ouvert;11;Non
PDV-037;Boutique de quartier;29;Non
PDV-038;Kiosque;35;Non
PDV-039;Marché ouvert;7;Non
PDV-040;Kiosque;8;Non
PDV-041;Kiosque;33;Non
PDV-042;Boutique de quartier;38;Non
PDV-043;Supérette;28;Non
PDV-044;Boutique de quartier;32;Non
PDV-045;Kiosque;35;Non
PDV-046;Kiosque;10;Non
PDV-047;Kiosque;28;Non
PDV-048;Supérette;15;Non
PDV-049;Supérette;33;Non
PDV-050;Kiosque;40;Non
